Category,Page Name,Macedonian Link (mk),Albanian Link (sq),Description
Core Pages,Homepage,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/?lang=sq,Main landing page with hero section and search
Core Pages,Browse Cars,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/browse-cars?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/browse-cars?lang=sq,Car listing search and filter page
Core Pages,Advanced Search,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/advanced-search?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/advanced-search?lang=sq,Detailed search with multiple filters
Selling Features,Sell Car,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/sell?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/sell?lang=sq,Car listing creation workflow
Selling Features,Express Sell,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/express-sell?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/express-sell?lang=sq,Quick car selling process
User Dashboard,User Dashboard,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/dashboard?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/dashboard?lang=sq,Main user dashboard and account overview
User Dashboard,Private Dashboard,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/private-dashboard?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/private-dashboard?lang=sq,Private user account management
User Dashboard,Saved Cars,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/saved-cars?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/saved-cars?lang=sq,User's saved car listings
Authentication,Sign In,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/signin?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/signin?lang=sq,User login page
Authentication,Sign Up,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/signup?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/signup?lang=sq,User registration page
Business & Dealers,Dealer Dashboard,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/dealer-dashboard?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/dealer-dashboard?lang=sq,Car dealer management dashboard
Business & Dealers,Dealers List,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/dealers?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/dealers?lang=sq,Directory of car dealers
Business & Dealers,Business Pages,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/business?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/business?lang=sq,Business account features
Information Pages,Contact,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/contact?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/contact?lang=sq,Contact information and support
Information Pages,About,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/about?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/about?lang=sq,Company information and mission
Information Pages,FAQ,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/faq?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/faq?lang=sq,Frequently asked questions
Information Pages,Help,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/help?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/help?lang=sq,Help center and user guides
Legal Pages,Privacy Policy,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/privacy?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/privacy?lang=sq,Privacy policy and data protection
Legal Pages,Terms of Service,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/terms?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/terms?lang=sq,Terms and conditions of use
Legal Pages,Cookie Policy,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/cookies?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/cookies?lang=sq,Cookie usage policy
Admin Pages,Admin Dashboard,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/admin?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/admin?lang=sq,Administrative dashboard
Special Features,Financing,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/financing?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/financing?lang=sq,Car financing options
Special Features,Car Reviews,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/reviews?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/reviews?lang=sq,Car reviews and ratings
Special Features,Safety Tips,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/safety?lang=mk,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/safety?lang=sq,Car buying safety guidelines
Mobile Testing,Homepage (Mobile),https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/?lang=mk&mobile=1,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/?lang=sq&mobile=1,Mobile version testing
Mobile Testing,Browse Cars (Mobile),https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/browse-cars?lang=mk&mobile=1,https://carmarket365-k286-git-main-stefan-kocevskis-projects.vercel.app/browse-cars?lang=sq&mobile=1,Mobile browsing experience